Name,ingredients,costs,sale or no,total
Roasted Butternut Squash Pizza,1 can (13.8 oz) Pillsbury™ refrigerated classic pizza crust,3.49,,
Roasted Butternut Squash Pizza,1 cup shredded cheese,3.49,sale,
,,,,
Creamless Roasted Butternut Squash Soup,"1 large butternut squash, sliced in half and seeded",1.99,,22.85
Creamless Roasted Butternut Squash Soup,"2 large carrots, peeled, roughly chopped",1.98,,
Creamless Roasted Butternut Squash Soup,"2 stalks celery, roughly chopped",2.98,,
Creamless Roasted Butternut Squash Soup,"1 large onion, peeled and diced",0.64,,
Creamless Roasted Butternut Squash Soup,"1 clove garlic, peeled and minced",2.19,,
Creamless Roasted Butternut Squash Soup,32 ounces vegetable broth,2.49,,
Creamless Roasted Butternut Squash Soup,2 teaspoon coconut oil,5.99,,
Creamless Roasted Butternut Squash Soup,"salt and pepper, to taste",4.59,,
